appid,bizid,id_hash,str_device_type,str_server_ip,stream_id,u32_conn_server_time,u32_network_type,u32_video_bitrate,u32_video_reso,u64_begin_time,update_time
1253216102,9180,1523035022,vivo Xplay6,42.123.100.167:1935,9180_931752,191,2,800,24117888,1524241871563,2018-04-21 00:31:09
1253216102,9180,615372223,OPPO A59s,139.215.203.168:1935,9180_919904,283,2,1200,35652544,1524241881806,2018-04-21 00:31:22
1253216102,9180,1519289441,iPhone 6s,121.51.40.108:1935,9180_946894,148,1,1200,35652544,1524241887162,2018-04-21 00:31:27
1253216102,9180,954070020,PRO 6s,221.235.252.144:1935,9180_719621,29,1,1200,35652544,1524241938925,2018-04-21 00:32:19
1253216102,9180,1517870002,PACM00,111.62.242.159:1935,9180_965928,117,2,1200,35652544,1524241951027,2018-04-21 00:32:35
1253216102,9180,1519930623,MHA-AL00,42.56.79.28:1935,9180_971383,485,1,800,24117888,1524241970421,2018-04-21 00:32:51
1253216102,9180,1525432229,OPPO A59m,118.112.23.181:1935,9180_969783,537,1,1200,35652544,1524241989705,2018-04-21 00:33:13
1253216102,9180,173919276,OPPO R7,113.142.51.164:1935,9180_290678,83,1,1200,35652544,1524242013146,2018-04-21 00:33:33
1253216102,9180,1518297887,vivo X20A,106.117.249.167:1935,9180_967389,73,2,800,24117888,1524242019104,2018-04-21 00:33:50
1253216102,9180,1519930594,vivo X20A,113.107.216.41:1935,9180_971386,213,1,1200,35652544,1524242032248,2018-04-21 00:33:53
1253216102,9180,964840437,OPPO R9m,183.2.192.168:1935,9180_188390,121,2,1800,47187200,1524242066038,2018-04-21 00:34:27
1253216102,9180,1519931171,vivo X9Plus,111.202.99.167:1935,9180_971328,209,2,1200,35652544,1524242086601,2018-04-21 00:34:49
1253216102,9180,1519930595,iPhone 5S,157.255.128.40:1935,9180_971387,96,1,1283,35652544,1524242171294,2018-04-21 00:36:11
1253216102,9180,1485025000,OPPO R9s,112.47.9.28:1935,9180_52437,6335,1,1200,35652544,1524242226519,2018-04-21 00:37:40
1253216102,9180,529007732,vivo Xplay5A,36.103.248.168:1935,9180_450169,82,1,1200,35652544,1524242300198,2018-04-21 00:38:21
1253216102,9180,1519469968,BKL-AL20,113.107.216.41:1935,9180_966047,202,2,1200,35652544,1524242310610,2018-04-21 00:38:31
1253216102,9180,1519440147,vivo Y66,112.90.58.158:1935,9180_969561,160,2,1200,35652544,1524242317098,2018-04-21 00:38:37
1253216102,9180,1518627437,vivo Y66,113.142.52.29:1935,9180_970086,79,1,1200,35652544,1524242298891,2018-04-21 00:38:42
1253216102,9180,1518602627,"iPhone10,3",222.218.80.152:1935,9180_970937,8,1,0,35652544,1524242334324,2018-04-21 00:38:54
1253216102,9180,1520019788,SM-J3119S,27.152.185.168:1935,9180_971013,305,1,1200,35652544,1524242362996,2018-04-21 00:39:28
1253216102,9180,1520021754,vivo X7,58.216.107.38:1935,9180_971287,58,1,1200,35652544,1524242373554,2018-04-21 00:39:34
1253216102,9180,1521450306,vivo X9,14.215.166.35:1935,9180_940990,48,1,1200,35652544,1524242399898,2018-04-21 00:39:58
